subject,stimulus,response,reactionTime
JG_37_1_0_0,"206,plop,181",2,4221735360000000
JG_37_1_0_0,"171,plop,166",1,5847814138999960
JG_37_1_0_0,"161,plop,221",1,5639783726000000
JG_37_1_0_0,"181,plop,191",1,4024913326000020
JG_37_1_0_0,"191,plop,166",2,4280259177999910
JG_37_1_0_0,"211,plop,186",2,4015514063000050
JG_37_1_0_0,"191,plop,186",1,3317947708999870
JG_37_1_0_0,"181,plop,171",2,5258852519999980
JG_37_1_0_0,"216,plop,201",2,5.13836586599982E+016
JG_37_1_0_0,"191,plop,216",1,4177165808000020
JG_37_1_0_0,"201,plop,186",2,5916636076000120
JG_37_1_0_0,"186,plop,161",2,6098491453000040
JG_37_1_0_0,"206,plop,161",2,4852567412000190
JG_37_1_0_0,"221,plop,186",2,4558821782000090
JG_37_1_0_0,"201,plop,171",2,4075061758000270
JG_37_1_0_0,"211,plop,206",1,4767618779999880
JG_37_1_0_0,"201,plop,221",1,4685378205999860
JG_37_1_0_0,"176,plop,201",2,4.66993207699998E+016
JG_37_1_0_0,"166,plop,216",1,4073330872999670
JG_37_1_0_0,"206,plop,176",2,4048330360999990
JG_37_1_0_0,"201,plop,191",2,1.06142735200002E+016
JG_37_1_0_0,"221,plop,206",2,3.80087734799972E+016
JG_37_1_0_0,"166,plop,196",1,3665296060000040
JG_37_1_0_0,"176,plop,221",1,4.72909660900004E+016
JG_37_1_0_0,"176,plop,181",2,4304295027999710
JG_37_1_0_0,"206,plop,196",2,3634119011999790
JG_37_1_0_0,"201,plop,211",1,3.937291069E+016
JG_37_1_0_0,"186,plop,216",1,3.86594669799988E+016
JG_37_1_0_0,"191,plop,171",2,4.89849531799982E+016
JG_37_1_0_0,"206,plop,216",1,8333264815999970
JG_37_1_0_0,"166,plop,161",2,4273534599000050
JG_37_1_0_0,"196,plop,221",1,5048776212999750
JG_37_1_0_0,"211,plop,216",1,4134880797999900
JG_37_1_0_0,"166,plop,176",1,3754218082999710
JG_37_1_0_0,"221,plop,166",2,4136712825000000
JG_37_1_0_0,"186,plop,176",1,6.11265902600016E+016
JG_37_1_0_0,"206,plop,201",1,4.01072125899973E+016
JG_37_1_0_0,"211,plop,191",2,4198643513999830
JG_37_1_0_0,"176,plop,191",2,4986971566999820
JG_37_1_0_0,"161,plop,171",2,4009691549000400
JG_37_1_0_0,"216,plop,196",1,4230530964999710
JG_37_1_0_0,"161,plop,191",1,3619209134999980
JG_37_1_0_0,"166,plop,186",1,3523164822000220
JG_37_1_0_0,"221,plop,171",2,4140312633999750
JG_37_1_0_0,"161,plop,201",2,3.79902997700001E+016
JG_37_1_0_0,"176,plop,211",1,5505578781999790
JG_37_1_0_0,"196,plop,201",1,6.05101155900011E+016
JG_37_1_0_0,"191,plop,196",1,4787801261000000
JG_37_1_0_0,"191,plop,206",2,4903793564999980
JG_37_1_0_0,"196,plop,181",2,4957183367999820
JG_37_1_0_0,"171,plop,196",2,4224749521000010
JG_37_1_0_0,"176,plop,161",2,4.44495585900004E+016
JG_37_1_0_0,"216,plop,181",2,4.2268782950001E+016
JG_37_1_0_0,"171,plop,176",2,4492754060000240
JG_37_1_0_0,"211,plop,166",2,3.83086136800021E+016
JG_37_1_0_0,"166,plop,206",1,414370666900013
JG_37_1_0_0,"161,plop,211",1,4820998333999890
JG_37_1_0_0,"211,plop,171",2,4010118902999780
JG_37_1_0_0,"216,plop,221",2,4290345588999660
JG_37_1_0_0,"181,plop,166",2,4860641510999900
JG_37_1_0_0,"181,plop,221",1,3.61300359100014E+016
JG_37_1_0_0,"186,plop,181",2,4.3168188579999E+016
JG_37_1_0_0,"221,plop,191",2,4769735713000140
JG_37_1_0_0,"161,plop,181",1,4014281918000140
JG_37_1_0_0,"216,plop,161",2,4010394652999910
JG_37_1_0_0,"171,plop,186",1,4.01199426999992E+016
JG_37_1_0_0,"196,plop,211",1,4.02589320900015E+016
JG_37_1_0_0,"186,plop,196",1,3.79216335100009E+016
JG_37_1_0_0,"186,plop,206",1,3.89974553700004E+016
JG_37_1_0_0,"181,plop,211",1,4278348637000000
JG_37_1_0_0,"171,plop,216",1,3617176429999840
JG_37_1_0_0,"201,plop,166",2,3818967236000030
JG_37_1_0_0,"216,plop,176",2,3905217825
JG_37_1_0_0,"221,plop,211",2,3.75841991799971E+016
JG_37_1_0_0,"171,plop,206",1,371765585799958
Joh_28_1_1_0,"211,plop,216",1,4288919029000320
Joh_28_1_1_0,"186,plop,176",2,1.59615943400022E+016
Joh_28_1_1_0,"171,plop,186",1,5558908278000310
